Course,Title,Pathways Area,Writing Intesive / College Options
ACCT 393W,Seminar in Accounting," ",Writing Intensive
ANTH 212,Peoples of the Middle East," ",Writing Intensive
ANTH 242W,Archaeology of Europe," ",Writing Intensive
ANTH 276W,Human Growth and Development," ",Writing Intensive
ANTH 290W,VT: Topics in Anthropology," ",Writing Intensive
ARAB 305,Advanced Arabic I," ",Language
BIOL 11,Intro to College Biology,Required Core - Life and Physical Sciences,Science
BUS 341W,Intermediate Finance," ",Writing Intensive
BUS 3913W,Special Problems," ",Writing Intensive
CMAL 101W,Cultural Studies: Short Poem," ",Writing Intensive
CMLIT 101,Global Literatures I,Flexible Core - World Cultures & Global Issues,Literature
CSCI 111,Intro Algorithmic Problem Solv,Flexible Core - Scientific World,Science
DRAM 344W,Playwriting Workshop," ",Writing Intensive
EAST 251,Mod Jpns Fict:Transl," ",Literature
ECON 135W,Economics Writing Workshop," ",Writing Intensive
ECON 3911W,Special Problems," ",Writing Intensive
ECON 392W,Honors Seminar," ","Writing Intensive, Writing Intensive"
ENGL 151W,Readings in British Literature," ","Literature, Writing Intensive"
ENGL 161,Introduction to Narrative," ",Literature
ENGL 210W,Intro Creative Writing," ",Writing Intensive
ENGL 312,"Medieval Literature, 1100-1500"," ",Literature
ENGL 321,Seventeenth-Century Literature," ",Literature
ENGL 344,The Eighteenth-Century Novel," ",Literature
ENGL 366,Intro to Irish Literature," ",Literature
EURO 203W,VT: European Literatures," ",Writing Intensive
FREN 205,Intro to Literary Analysis,Flexible Core - World Cultures & Global Issues,"Language, Literature"
FREN 224,Advanced French Grammar," ",Language
FREN 225,Fren Comp & Gram II," ",Language
FREN 320,Vt: Tops Early French Lit," ",Language
GERM 111,Elementary German I," ",Language
GERM 203,Intermediate German I," ",Language
GERM 250W,German Film and Media," ",Writing Intensive
GERM 326,Romanticism," ",Language
GRKMD 322,Survey Mod Grk Lit II," ",Language
HEBRW 321,Readings from the Torah," ",Language
HIST 102W,Mod Eur 1815-Pres,Flexible Core - World Cultures & Global Issues,Writing Intensive
HIST 392W,Colloquium," ",Writing Intensive
HNRS 126W,The Peopling of New York,Flexible Core - US Experience in its Diversity,Writing Intensive
HTH 102,Freshman Humanities Colloquium," ",Literature
ITAL 357,Vt:Ren Lit III:Prose," ",Language
JPNS 102,Elementary Japanese II," ",Language
JPNS 306,Advanced Modern Japanese II," ",Language
LABST 101W,Introduction to Labor Studies," ",Writing Intensive
MEDST 355W,Aesthetics Of Comm," ",Writing Intensive
MES 250,Lit Islamic World,Flexible Core - Individual and Society,Literature
MNSCI 113,Contemporary Issues in the Sci,Flexible Core - Scientific World,Science
MUSIC 377,Musical Form and Analysis," ",Synthesis
PHIL 109,Formal Logic," ",Language
PHIL 116W,Intro Philosophy of Religion,Flexible Core - Individual and Society,Writing Intensive
PHYS 395W,Senior Research Project I," ",Writing Intensive
PSCI 2955W,Internship in Law and Advocacy," ",Writing Intensive
PSCI 382W,Seminar in Law and Politics," ",Writing Intensive
RUSS 203,Intermediate Russian I," ",Language
SOC 382H,Vt:  Senior Seminar," ",Writing Intensive
SPAN 222,Lng Wkshp Non-Span Herit Stud,Flexible Core - World Cultures & Global Issues,Language
URBST 205W,Urban Cultural Diversity," ",Writing Intensive
URBST 3903W,VT: Tutorial," ",Writing Intensive
WGS 201W,Theories of Feminism," ","Writing Intensive, Writing Intensive"
YIDD 204,Intermediate Yiddish II," ",Language
BIOL 34,Genomics Research Experience I," ","Science, Science"
PHYS 1221,General Physics II Laboratory," ",Science
HIST 391W,VT: History and Literature," ",Writing Intensive
SPAN 114,Span for Heritage Spkrs I," ",Language
SPAN 51,Hisp-Jewish Lit in Translat," ",Literature
ANTH 246W,Archaeology of the Near East," ",Writing Intensive
MUSIC 377H,Musical Form and Analysis," ",Writing Intensive
DANCE 350W,Time & Dance Image In U.S. I," ",Writing Intensive
GEOL 212W,Sedimen Rocks Fossils & Strata," ",Writing Intensive
ENGL 352,Late19th & Early 20th Cent US," ",Literature
WGS 210W,Vt: Selected Topics," ",Writing Intensive
QNS 101,Queens Community," ",Literature
AFST 205W,African American Literature," ",Writing Intensive
PSYCH 312W,Adv Exp Psy: Sens/Perc," ",Writing Intensive
SEYS 150,Youth & Society,Flexible Core - Individual and Society," "
MUSIC 246,Western Music History I,Flexible Core - World Cultures & Global Issues," "
ARTS 388,Becoming Insect,Flexible Core - Creative Expression," "
URBST 114,Sex and the City,Flexible Core - Individual and Society," "
ARTH 110,Survey of Ancient Art,Flexible Core - Creative Expression," "
CMLIT 215,Topics in Modern Literature,Flexible Core - Creative Expression," "
CSCI 212,Object-Oriented Prog in Java,Required Core - Mathematical&QuantitativeReasoning," "
ENGL 110H,College Writing I,Required Core - English Composition," "
MATH 115,College Algebra for Precalc,Required Core - Mathematical&QuantitativeReasoning," "
HNRS 226,Shape Future Nyc,Flexible Core - Individual and Society," "
MATH 141,Calculus/Differentiation,Required Core - Mathematical&QuantitativeReasoning," "
DANCE 150,Introduction to Dance,Flexible Core - Creative Expression," "
CMLIT 242,Francophone Lit in a World Co,Flexible Core - World Cultures & Global Issues," "
FNES 104,Aspects Of Foods,Flexible Core - World Cultures & Global Issues," "
URBST 105,Urban Politics,Flexible Core - US Experience in its Diversity," "
PHIL 107,Logic and Scientific Reasoning,Flexible Core - Scientific World," "
ANTH 101,Intro To Cultural Anthropology,Flexible Core - World Cultures & Global Issues," "
MATH 122,Precalculus,Required Core - Mathematical&QuantitativeReasoning," "
AMST 110W,Intro Amer Soc/Culture,Flexible Core - US Experience in its Diversity,Writing Intensive
ARTH 254W,Twentieth-Century Art," ",Writing Intensive
ARTH 3204W,Internship in Art History," ",Writing Intensive
BIOL 43,Anatomy & Physiology,Required Core - Life and Physical Sciences,Science
CHEM 1023,Basic Organic Chemistry,Required Core - Life and Physical Sciences,Science
CHIN 204,Intermediate Chinese II," ",Language
CLAS 150,Grk/Lat Class Trans," ",Literature
CLAS 250H,Ancient Epic and Tragedy," ",Writing Intensive
CMLIT 102,Global Literatures II,Flexible Core - World Cultures & Global Issues,Literature
CMLIT 229W,Vt: Women In Modern World Lit,Flexible Core - World Cultures & Global Issues,Writing Intensive
CMLIT 383W,Advanced Seminars," ",Writing Intensive
EAST 250,Modern Chinese Fiction Trans," ",Literature
ECON 134W,Writing Tutorial," ",Writing Intensive
EECE 310W,Cultural Context I: Child Dev," ","Writing Intensive, Writing Intensive"
EECE 310W,Cultural Context I: Child Dev," ","Writing Intensive, Writing Intensive"
ENGL 156W,Introduction to Shakespeare," ",Writing Intensive
ENGL 165H,Introduction to Poetry,Flexible Core - Creative Expression,"Literature, Writing Intensive"
ENGL 170H,Intro Literary Study," ",Writing Intensive
ENGL 211W,Introduction to Writing Nonfic," ",Writing Intensive
ENGL 303W,Non-fiction Workshop," ",Writing Intensive
ENGL 313,The Arthurian Tradition," ",Literature
ENGL 354,African American Literature I," ",Literature
ENGL 355,African American Literature II," ",Literature
ENGL 356,Native American & Indigenous L," ",Literature
FREN 41W,French and Francophone Lit," ","Literature, Writing Intensive"
FREN 45W,French and Francophone Culture,Flexible Core - World Cultures & Global Issues,Writing Intensive
FREN 235,Business French," ",Language
FREN 250W,French & Franco Film & Media,Flexible Core - Creative Expression,Writing Intensive
FREN 345,Vt: French Lit 18 Century," ",Language
FREN 375,Cont Fren Lit Theory," ",Language
GEOL 12,Natural Disasters,Flexible Core - Scientific World,Science
GEOL 25,Natural Resource and Environmt,Flexible Core - Scientific World,Science
GERM 41,German Lit  in Translation," ",Literature
GERM 109,Intensive German I-II," ",Language
GERM 204,Intermediate German II,Flexible Core - World Cultures & Global Issues,Language
GERM 331,Grmn Thtre Lsng Henr Mlr," ",Language
GRKMD 323,Survey Mod Greek III," ",Language
HEBRW 101,Elementary Hebrew I," ",Language
HEBRW 203,Intermediate Hebrew I," ",Language
HIST 370W,VT: Film and History," ",Writing Intensive
IRST 101,Elementary Irish I," ",Language
IRST 102,Elementary Irish II," ",Language
ITAL 111,Elementary Italian I," ",Language
ITAL 336,The Italian Language," ",Language
ITAL 345,Studies in Medieval Literature," ",Language
LATIN 102,Intermediate Latin," ",Language
LATIN 204,Roman Poetry," ",Language
LCD 134W,Writing Tutorial," ",Writing Intensive
LCD 206W,Bilingualism," ",Writing Intensive
MEDST 345W,Great Directors," ",Writing Intensive
MEDST 353W,Amer/British Discourse to 1900," ",Writing Intensive
MEDST 360W,Global Media," ",Writing Intensive
MES 160,Classical Islamic Lit & Civil," ",Literature
PSCI 100H,American Politics and Gov't,Flexible Core - US Experience in its Diversity,Writing Intensive
PSCI 102H,Political Controversies,Flexible Core - US Experience in its Diversity,Writing Intensive
PSCI 2925W,Internship in Urban Politics," ",Writing Intensive
PSCI 2929W,Internship in Urban Politics," ",Writing Intensive
RUSS 155W,Keys to Russian Literature," ","Literature, Writing Intensive"
RUSS 244W,Russ & East Euro Film & Media," ",Writing Intensive
SEYS 363W,Methods Teaching Soc St Mid&HS," ",Writing Intensive
SEYS 381W,Curr & Assmnt in Mathematics," ",Writing Intensive
SPAN 111,Elementary Spanish I," ",Language
SPAN 221,Lang Wkshp Sp Herit St,Flexible Core - World Cultures & Global Issues,Language
SPAN 280,Survey Span-Amer Literature I," ","Language, Language"
SPAN 307,Survey Span-Amer Literature I," ","Language, Language"
SPAN 308,Survey Span-Am Lit II," ","Language, Language"
SPAN 308,Survey Span-Am Lit II," ","Language, Language"
SPAN 312,The Cult Civilition Latin Amer," ",Language
URBST 220W,VT: Stds Slctd Urbn Serv Inst," ","Writing Intensive, Writing Intensive"
URBST 330W,Contemporary Urban Theory," ",Writing Intensive
WGS 101W,Intro Women & Gender Studies,Flexible Core - US Experience in its Diversity,Writing Intensive
YIDD 102,Elementary Yiddish II," ",Language
YIDD 203,Intermediate Yiddish I," ",Language
CHIN 210,Business Chinese I," ",Language
PSYCH 103,Pleasure and Pain,Flexible Core - Scientific World,Science
ANTH 375,The Human-Primate Interface," ",Synthesis
CMLIT 220W,East Asian Literature I," ","Writing Intensive, Writing Intensive"
MES 255W,Mod Arab Lit In Tran," ",Writing Intensive
ARAM 205,Aramaic for Readers of Hebrew," ",Language
ENSCI 99,Guide to Environmental Choices,Required Core - Life and Physical Sciences,Science
CMAL 220W,Creation Stories," ",Writing Intensive
ECON 3913W,Special Problems," ",Writing Intensive
ANTH 388,Voices of New York," ",Synthesis
ANTH 108,Introduction to Language," ",Language
EAST 252,Korean Women's Writings," ",Literature
ENGL 205W,Methods for Writing Research," ",Writing Intensive
ASL 111,American Sign Language I," ",Language
MEDST 223,Media Writing," ",Writing Intensive
ASL 212,American Sign Language IV," ",Language
AFST 303W,Global Black Exp Media & Film," ",Writing Intensive
PSYCH 317W,Adv Exp Psy: ABA," ",Writing Intensive
FNES 203W,Meal Plan Therapeutic Diets," ",Writing Intensive
WGS 104,Introduction to LGBTQ Studies,Flexible Core - Individual and Society," "
MATH 201,Multivariable Calculus,Required Core - Mathematical&QuantitativeReasoning," "
PHIL 101,Introduction to Philosophy,Flexible Core - Individual and Society," "
ARTH 114,Survey of Asian Art,Flexible Core - Creative Expression," "
HIST 115,Hist Jewish People II,Flexible Core - World Cultures & Global Issues," "
